               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  71,            0.026348,           0.0081137,          0.00040963,             0.89735,             0.86565,             0.89934,             0.51745,            0.034944,           0.0066039,          0.00051358,             0.00538,             0.00538,             0.00538
                  72,            0.026819,           0.0076806,          0.00040035,             0.91178,             0.87549,              0.9098,             0.53521,            0.033136,           0.0066254,          0.00052855,            0.005314,            0.005314,            0.005314
                  73,            0.027304,           0.0076088,          0.00041724,             0.93906,             0.87828,             0.92107,              0.5291,            0.034822,           0.0065254,          0.00054808,            0.005248,            0.005248,            0.005248
                  74,            0.026345,           0.0067969,          0.00041325,             0.88546,             0.88232,             0.89929,             0.49632,            0.035712,           0.0064726,          0.00056225,            0.005182,            0.005182,            0.005182
                  75,            0.025801,            0.007388,           0.0004412,             0.87789,             0.90217,             0.90738,             0.48671,            0.035949,           0.0064241,          0.00056616,            0.005116,            0.005116,            0.005116
                  76,            0.025532,           0.0074291,          0.00043148,             0.89229,             0.89482,             0.91725,             0.52157,            0.035532,           0.0067378,          0.00054029,             0.00505,             0.00505,             0.00505
                  77,            0.025647,            0.007031,          0.00036668,             0.94408,             0.89482,             0.93465,              0.5321,            0.032799,           0.0066705,          0.00049686,            0.004984,            0.004984,            0.004984
                  78,            0.024822,           0.0074536,          0.00035777,             0.91425,             0.87416,             0.91942,             0.49915,             0.03457,           0.0066159,          0.00055246,            0.004918,            0.004918,            0.004918
                  79,            0.026104,           0.0071265,          0.00039523,             0.91495,             0.87618,              0.9085,             0.50518,            0.034479,           0.0066899,          0.00054471,            0.004852,            0.004852,            0.004852
                  80,            0.024456,           0.0067827,          0.00037677,             0.87106,             0.90612,             0.92212,             0.47949,            0.035649,            0.006749,           0.0005337,            0.004786,            0.004786,            0.004786
                  81,            0.026004,           0.0073673,          0.00034939,             0.89984,             0.88131,             0.90696,             0.51415,            0.034664,           0.0068875,          0.00055872,             0.00472,             0.00472,             0.00472
                  82,            0.025184,           0.0075804,          0.00032786,             0.89556,             0.91667,             0.92519,             0.48881,            0.037209,           0.0067206,          0.00047406,            0.004654,            0.004654,            0.004654
                  83,            0.024556,           0.0072689,          0.00032475,              0.8723,             0.92073,             0.90344,             0.49861,             0.03424,           0.0064824,          0.00046661,            0.004588,            0.004588,            0.004588
                  84,            0.024317,           0.0071045,          0.00034495,             0.87765,             0.91347,             0.91118,             0.51297,            0.034123,           0.0065108,           0.0004675,            0.004522,            0.004522,            0.004522
                  85,             0.02449,           0.0067023,          0.00035322,             0.91486,             0.85096,             0.90065,             0.51076,            0.033374,           0.0069466,          0.00048269,            0.004456,            0.004456,            0.004456
                  86,            0.022994,           0.0070551,          0.00035082,             0.87787,             0.89583,             0.91211,              0.5064,            0.035019,           0.0071481,          0.00046895,             0.00439,             0.00439,             0.00439
                  87,            0.024138,           0.0070833,          0.00035926,             0.88941,             0.84381,             0.88774,             0.49451,            0.035372,           0.0071779,          0.00047303,            0.004324,            0.004324,            0.004324
                  88,            0.023659,           0.0065919,          0.00036664,             0.89334,             0.90315,             0.90106,             0.49979,             0.03457,           0.0069495,          0.00048981,            0.004258,            0.004258,            0.004258
                  89,            0.023788,           0.0070494,          0.00034289,             0.87407,             0.88569,             0.89862,             0.48747,            0.036023,           0.0069815,          0.00046833,            0.004192,            0.004192,            0.004192
                  90,            0.023893,           0.0070339,           0.0003407,             0.88931,             0.88649,             0.91336,             0.50583,            0.034503,           0.0070065,          0.00045002,            0.004126,            0.004126,            0.004126
                  91,            0.024259,           0.0076206,          0.00033409,             0.90539,             0.87196,             0.90382,             0.49689,            0.036379,           0.0068929,          0.00044523,             0.00406,             0.00406,             0.00406
